±b¸¹,±K½X
1,1234
2,1234
3,1234
4,1234
5,1234
6,1234
7,1234
8,1234
9,1234
10,1234
11,1234
12,1234
13,1234
14,1234
15,1234
16,1234
17,1234
18,1234
19,1234
20,1234
21,1234
22,1234
23,1234
24,1234
25,1234
26,1234
27,1234
28,1234
29,1234
30,1234
31,1234
32,1234
33,1234
34,1234
35,1234
36,1234
37,1234
38,1234
39,1234
40,1234
41,1234
42,1234
43,1234
44,1234
45,1234
46,1234
47,1234
48,1234
49,1234
50,1234
51,1234
52,1234
53,1234
54,1234
55,1234
56,1234
57,1234
58,1234
59,1234
60,1234
61,1234
62,1234
63,1234
64,1234
65,1234
66,1234
67,1234
68,1234
69,1234
70,1234
71,1234
72,1234
73,1234
74,1234
75,1234
76,1234
77,1234
78,1234
79,1234
80,1234
81,1234
82,1234
83,1234
84,1234
85,1234
86,1234
87,1234
88,1234
89,1234
90,1234
91,1234
92,1234
93,1234
94,1234
95,1234
96,1234
97,1234
98,1234
99,1234
100,1234
101,1234
102,1234
103,1234
104,1234
105,1234
106,1234
107,1234
108,1234
109,1234
110,1234
111,1234
112,1234
113,1234
114,1234
115,1234
116,1234
117,1234
118,1234
119,1234
120,1234
121,1234
122,1234
123,1234
124,1234
125,1234
126,1234
127,1234
128,1234
129,1234
130,1234
131,1234
132,1234
133,1234
134,1234
135,1234
136,1234
137,1234
138,1234
139,1234
140,1234
141,1234
142,1234
143,1234
144,1234
145,1234
146,1234
147,1234
148,1234
149,1234
150,1234
151,1234
152,1234
153,1234
154,1234
155,1234
156,1234
157,1234
158,1234
159,1234
160,1234
161,1234
162,1234
163,1234
164,1234
165,1234
166,1234
167,1234
168,1234
169,1234
170,1234
171,1234
172,1234
173,1234
174,1234
175,1234
176,1234
177,1234
178,1234
179,1234
180,1234
181,1234
182,1234
183,1234
184,1234
185,1234
186,1234
187,1234
188,1234
189,1234
190,1234
191,1234
192,1234
193,1234
194,1234
195,1234
196,1234
197,1234
198,1234
199,1234
200,1234
201,1234
202,1234
203,1234
204,1234
205,1234
206,1234
207,1234
208,1234
209,1234
210,1234
211,1234
212,1234
213,1234
214,1234
215,1234
216,1234
217,1234
218,1234
219,1234
220,1234
221,1234
222,1234
223,1234
224,1234
225,1234
226,1234
227,1234
228,1234
229,1234
230,1234
231,1234
232,1234
233,1234
234,1234
235,1234
236,1234
237,1234
238,1234
239,1234
240,1234
241,1234
242,1234
243,1234
244,1234
245,1234
246,1234
247,1234
248,1234
249,1234
250,1234
251,1234
252,1234
253,1234
254,1234
255,1234
256,1234
257,1234
258,1234
259,1234
260,1234
261,1234
262,1234
263,1234
264,1234
265,1234
266,1234
267,1234
268,1234
269,1234
270,1234
271,1234
272,1234
273,1234
274,1234
275,1234
276,1234
277,1234
278,1234
279,1234
280,1234
281,1234
282,1234
283,1234
284,1234
285,1234
286,1234
287,1234
288,1234
289,1234
290,1234
291,1234
292,1234
293,1234
294,1234
295,1234
296,1234
297,1234
298,1234
299,1234
300,1234
301,1234
302,1234
303,1234
304,1234
305,1234
306,1234
307,1234
308,1234
309,1234
310,1234
311,1234
312,1234
313,1234
314,1234
315,1234
316,1234
317,1234
318,1234
319,1234
320,1234
321,1234
322,1234
323,1234
324,1234
325,1234
326,1234
327,1234
328,1234
329,1234
330,1234
331,1234
332,1234
333,1234
334,1234
335,1234
336,1234
337,1234
338,1234
339,1234
340,1234
341,1234
342,1234
343,1234
344,1234
345,1234
346,1234
347,1234
348,1234
349,1234
350,1234
351,1234
352,1234
353,1234
354,1234
355,1234
356,1234
357,1234
358,1234
359,1234
360,1234
361,1234
362,1234
363,1234
364,1234
365,1234
366,1234
367,1234
368,1234
369,1234
370,1234
371,1234
372,1234
373,1234
374,1234
375,1234
376,1234
377,1234
378,1234
379,1234
380,1234
381,1234
382,1234
383,1234
384,1234
385,1234
386,1234
387,1234
388,1234
389,1234
390,1234
391,1234
392,1234
393,1234
394,1234
395,1234
396,1234
397,1234
398,1234
399,1234
400,1234
401,1234
402,1234
403,1234
404,1234
405,1234
406,1234
407,1234
408,1234
409,1234
410,1234
411,1234
412,1234
413,1234
414,1234
415,1234
416,1234
417,1234
418,1234
419,1234
420,1234
421,1234
422,1234
423,1234
424,1234
425,1234
426,1234
427,1234
428,1234
429,1234
430,1234
431,1234
432,1234
433,1234
434,1234
435,1234
436,1234
437,1234
438,1234
439,1234
440,1234
441,1234
442,1234
443,1234
444,1234
445,1234
446,1234
447,1234
448,1234
449,1234
450,1234
451,1234
452,1234
453,1234
454,1234
455,1234
456,1234
457,1234
458,1234
459,1234
460,1234
461,1234
462,1234
463,1234
464,1234
465,1234
466,1234
467,1234
468,1234
469,1234
470,1234
471,1234
472,1234
473,1234
474,1234
475,1234
476,1234
477,1234
478,1234
479,1234
480,1234
481,1234
482,1234
483,1234
484,1234
485,1234
486,1234
487,1234
488,1234
489,1234
490,1234
491,1234
492,1234
493,1234
494,1234
495,1234
496,1234
497,1234
498,1234
499,1234
500,1234
1120001,1234
1120002,1234
1120003,1234
1120004,1234
1120005,1234
1120006,1234
1120007,1234
1120008,1234
1120009,1234
1120010,1234
1120011,1234
1120012,1234
1120013,1234
1120014,1234
1120015,1234
1120016,1234
1120017,1234
1120018,1234
1120019,1234
1120020,1234
1120021,1234
1120022,1234
1120023,1234
1120024,1234
1120025,1234
1120026,1234
1120027,1234
1120028,1234
1120029,1234
1120030,1234
1120031,1234
1120032,1234
1120033,1234
1120034,1234
1120035,1234
1120036,1234
1120037,1234
1120038,1234
1120039,1234
1120040,1234
1120041,1234
1120042,1234
1120043,1234
1120044,1234
1120045,1234
1120046,1234
1120047,1234
1120048,1234
1120049,1234
1120050,1234
1120051,1234
1120052,1234
1120053,1234
1120054,1234
1120055,1234
1120056,1234
1120057,1234
1120058,1234
1120059,1234
1120060,1234
1120061,1234
1120062,1234
1120063,1234
1120064,1234
1120065,1234
1120066,1234
1120067,1234
1120068,1234
1120069,1234
1120070,1234
1120071,1234
1120072,1234
1120073,1234
1120074,1234
1120075,1234
1120076,1234
1120077,1234
1120078,1234
1120079,1234
1120080,1234
1120081,1234
1120082,1234
1120083,1234
1120084,1234
1120085,1234
1120086,1234
1120087,1234
1120088,1234
1120089,1234
1120090,1234
1120091,1234
1120092,1234
1120093,1234
1120094,1234
1120095,1234
1120096,1234
1120097,1234
1120098,1234
1120099,1234
1120100,1234
1120101,1234
1120102,1234
1120103,1234
1120104,1234
1120105,1234
1120106,1234
1120107,1234
1120108,1234
1120109,1234
1120110,1234
1120111,1234
1120112,1234
1120113,1234
1120114,1234
1120115,1234
1120116,1234
1120117,1234
1120118,1234
1120119,1234
1120120,1234
1120121,1234
1120122,1234
1120123,1234
1120124,1234
1120125,1234
1120126,1234
1120127,1234
1120128,1234
1120129,1234
1120130,1234
1120131,1234
1120132,1234
1120133,1234
1120134,1234
1120135,1234
1120136,1234
1120137,1234
1120138,1234
1120139,1234
1120140,1234
1120141,1234
1120142,1234
1120143,1234
1120144,1234
1120145,1234
1120146,1234
1120147,1234
1120148,1234
1120149,1234
1120150,1234
1120151,1234
1120152,1234
1120153,1234
1120154,1234
1120155,1234
1120156,1234
1120157,1234
1120158,1234
1120159,1234
1120160,1234
1120161,1234
1120162,1234
1120163,1234
1120164,1234
1120165,1234
1120166,1234
1120167,1234
1120168,1234
1120169,1234
1120170,1234
1120171,1234
1120172,1234
1120173,1234
1120174,1234
1120175,1234
1120176,1234
1120177,1234
1120178,1234
1120179,1234
1120180,1234
1120181,1234
1120182,1234
1120183,1234
1120184,1234
1120185,1234
1120186,1234
1120187,1234
1120188,1234
1120189,1234
1120190,1234
1120191,1234
1120192,1234
1120193,1234
1120194,1234
1120195,1234
1120196,1234
1120197,1234
1120198,1234
1120199,1234
1120200,1234
1120201,1234
1120202,1234
1120203,1234
1120204,1234
1120205,1234
1120206,1234
1120207,1234
1120208,1234
1120209,1234
1120210,1234
1120211,1234
1120212,1234
1120213,1234
1120214,1234
1120215,1234
1120216,1234
1120217,1234
1120218,1234
1120219,1234
1120220,1234
1120221,1234
1120222,1234
1120223,1234
1120224,1234
1120225,1234
1120226,1234
1120227,1234
1120228,1234
1120229,1234
1120230,1234
1120231,1234
1120232,1234
1120233,1234
1120234,1234
1120235,1234
1120236,1234
1120237,1234
1120238,1234
1120239,1234
1120240,1234
1120241,1234
1120242,1234
1120243,1234
1120244,1234
1120245,1234
1120246,1234
1120247,1234
1120248,1234
1120249,1234
1120250,1234
1120251,1234
1120252,1234
1120253,1234
1120254,1234
1120255,1234
1120256,1234
1120257,1234
1120258,1234
1120259,1234
1120260,1234
1120261,1234
1120262,1234
1120263,1234
1120264,1234
1120265,1234
1120266,1234
1120267,1234
1120268,1234
1120269,1234
1120270,1234
1120271,1234
1120272,1234
1120273,1234
1120274,1234
1120275,1234
1120276,1234
1120277,1234
